path,http_status,content_type,bytes,width,height,format,sha256
representative/v4/plastic-jars.png,200,image/png,1715464,1728,1344,PNG,8852e76062c3d32cc03d0e3bced0cca1e4754ee0a49807494049750718a078e6
representative/v4/pre-roll-machine.png,200,image/png,1904570,1728,1344,PNG,d2a94ac09828743123ba0921268af14f6138fdb28eadbac3afa6888d8e1b0e25
representative/v4/pre-roll-packaging.png,200,image/png,1559570,1728,1344,PNG,81cbb20d68c241400d0eec0d5f5e4683af147c8ca884f6d6659bbb8b634192ba
representative/v4/silicone-containers.png,200,image/png,1673899,1728,1344,PNG,2c0393372018ec8a79147b7b5223d80b5768aaada02c024ba5395e338cf8aa09
representative/v4/tincture-filling-machine.png,200,image/png,1975558,1728,1344,PNG,5671f81adad11f05fece0ec1dd4c56611e75d53ab11683eff0a48d19eb757572
representative/v4/trellis-netting.png,200,image/png,2004185,1728,1344,PNG,ac9fe93d9cc45c178493363f79114734337c8fffc5e4ddfafbc92d8aad3d54d3
representative/v4/vape-filling-machine.png,200,image/png,1804243,1728,1344,PNG,ca7e33809c7abbb75d2145a09dfb147bb82306a6a8ef3d1e9e1d9717da1d1363
representative/v4/vape-packaging.png,200,image/png,1746684,1728,1344,PNG,31eb010e760714d7926a90831ff6ed19a0a2342cc8f2ad8b137cab004caafde6
representative/v5/co2-extraction-system.png,200,image/png,2270721,1728,1344,PNG,115f53af912439ed13434139ba33b1193d5ba868ecf86b433e8a740b458adb6b
representative/v5/confidential-inventory.png,200,image/png,1701110,1728,1344,PNG,1e62a65ca3fa06b47e7d5c5815a04d55b0d2a33da974ceee66babb05d7520559
representative/v5/retail-facility.png,200,image/png,2317081,1728,1344,PNG,77836ae998150acff3ecb7e5e82803a5938d7cfd22d29e5399fbae00eb750c58
representative/v6/biomass.png,200,image/png,2025433,1728,1344,PNG,f4d06c223796d2d24ef7c577f2c24f513cde81cbe9f76d30af98a40a3655b31a
representative/v6/co2-5l-extractor.png,200,image/png,2423399,1728,1344,PNG,24ad9eaed5e11e4807344fbb38022d860391109d0e4849fed91190c53cfbf5df
representative/v6/distillation-purification-train.png,200,image/png,2507325,1728,1344,PNG,8ec0a1f525e2c3c19e5293939b910ffdffc5a18a4ca95f4131884c36b7c5c261
representative/v6/dried-flower.png,200,image/png,1954416,1728,1344,PNG,45d3c212a6311e8e11f9d5adba99cf88d7f3e2f290aed23e31f72c390ee149e6
representative/v6/ethanol-extraction-system.png,200,image/png,2884595,1728,1344,PNG,54de8236bcdf78e516326dc91be122b6b8ab0c177317d39d9c853c275776ee86
representative/v6/lab-testing-instrumentation.png,200,image/png,2535237,1728,1344,PNG,89db2b7838754a8017c902601bb3c10b249cfa13672ab4f6f69dab767c76028a
representative/v6/moisture-analyzer.png,200,image/png,1978270,1728,1344,PNG,8a6286d8801b41fce8f279f44b64f0f4f4fe79d9df1b5d5f8f5fcade242d7488
representative/v6/short-path-distillation.png,200,image/png,1919943,1728,1344,PNG,411d0643a8bf1518cf183149ff48c14a3de2eb08f0885bba53b233d1df0414fe
